matnr;bwkey;bwtar;stprs;peinh;bklas
000000000002000100;E010;;28,000.00;1,000;3100
000000000004000129;E010;;15,751.13;1,000;3000
000000000004000129;E110;;19,160.00;1,000;3000
000000000004000129;E210;;19,160.00;1,000;3000
000000000004300001;E010;;6,533.28;1,000;3010
000000000004300001;E110;;6,183.28;1,000;3010
000000000004300001;E210;;6,183.28;1,000;3010
000000000004300002;E010;;6,704.61;1,000;3010
000000000004300002;E110;;7,624.83;1,000;3010
000000000004300002;E210;;7,624.83;1,000;3010
000000000004300003;E010;;7,029.79;1,000;3010
000000000004300003;E110;;7,155.10;1,000;3010
000000000004300004;E010;;7,194.85;1,000;3010
000000000004300004;E210;;8,070.59;1,000;3010
000000000004300005;E010;;4,642.97;1,000;3010
000000000004300005;E110;;4,492.97;1,000;3010
000000000004300005;E210;;4,492.97;1,000;3010
000000000004300006;E010;;5,138.06;1,000;3010
000000000004300006;E210;;5,538.06;1,000;3010
000000000004300007;E010;;4,550.02;1,000;3010
000000000004300007;E110;;4,550.02;1,000;3010
000000000004300010;E010;;12,800.00;1,000;3010
000000000004300010;E110;;12,800.00;1,000;3010
000000000004300010;E210;;12,800.00;1,000;3010
000000000004300016;E010;;4,050.00;1,000;3010
000000000004300016;E110;;7,458.68;1,000;3010
000000000004300016;E210;;7,458.68;1,000;3010
000000000004300018;E010;;8,493.34;1,000;3010
000000000004300018;E210;;8,843.34;1,000;3010
000000000004300023;E010;;6,839.00;1,000;3010
000000000004300023;E210;;6,839.00;1,000;3010
000000000004400001;E010;;2,500.00;1,000;3010
000000000004400001;E110;;2,500.00;1,000;3010
000000000004400001;E210;;2,500.00;1,000;3010
000000000004400002;E010;;2,500.00;1,000;3010
000000000004400002;E110;;2,500.00;1,000;3010
000000000004400002;E210;;2,500.00;1,000;3010
000000000004400003;E010;;1,828.88;1,000;3010
000000000004400003;E110;;2,500.00;1,000;3010
000000000004400003;E210;;2,500.00;1,000;3010
000000000004400004;E010;;2,463.92;1,000;3010
000000000004400004;E110;;2,500.00;1,000;3010
000000000004400004;E210;;2,500.00;1,000;3010
000000000004400006;E010;;0.01;1,000;3010
000000000004400006;E110;;0.01;1,000;3010
000000000004400006;E210;;0.01;1,000;3010
000000000004400007;E010;;0.01;1,000;3010
000000000004400007;E110;;0.01;1,000;3010
000000000004400007;E210;;0.01;1,000;3010
000000000004400008;E010;;0.01;1,000;3010
000000000004400008;E110;;0.01;1,000;3010
000000000004400008;E210;;0.01;1,000;3010
000000000004400009;E010;;1,880.00;1,000;3010
000000000004400009;E110;;1,880.00;1,000;3010
000000000004400009;E210;;1,880.00;1,000;3010
000000000004400010;E010;;1,976.28;1,000;3010
000000000004400010;E110;;2,390.00;1,000;3010
000000000004400010;E210;;2,390.00;1,000;3010
000000000004400011;E010;;2,000.00;1,000;3010
000000000004400011;E110;;2,190.00;1,000;3010
000000000004400011;E210;;2,190.00;1,000;3010
000000000004400012;E010;;1,990.00;1,000;3010
000000000004400012;E110;;2,140.00;1,000;3010
000000000004400012;E210;;2,140.00;1,000;3010
000000000004400013;E010;;750.00;1,000;3010
000000000004400013;E110;;750.00;1,000;3010
000000000004400013;E210;;750.00;1,000;3010
000000000004400018;E010;;3,620.00;1,000;3010
000000000004400018;E210;;3,620.00;1,000;3010
